,Equal Weight  (Rolling 36m),Equal Weight  (Expanding),Min Volatility  (Rolling 36m),Min Volatility  (Expanding),Max Diversification  (Rolling 36m),Max Diversification  (Expanding)
2007-08-31,1.720333866353856,1.720333866353856,1.361782405048698,1.3701953902490862,1.438556561633225,1.4702680140881692
2007-09-30,1.7949882164049187,1.7949882164049187,1.3972613193775203,1.4087239162913885,1.4892303639359483,1.5214748927092876
2007-10-31,1.8211552445977022,1.8211552445977022,1.4073127935841245,1.4202691065755337,1.505857313827739,1.53828792202721
2007-11-30,1.7610318042645525,1.7610318042645525,1.4286880009210055,1.4356644589372063,1.499325320054868,1.528846207719309
2007-12-31,1.756168807311669,1.756168807311669,1.4385791863857884,1.4462751669602723,1.5094686447573362,1.536290173142918
2008-01-31,1.759855568225171,1.759855568225171,1.4590915805341647,1.4725795572428242,1.5381247551823305,1.5571615036902369
2008-02-29,1.786601061856491,1.786601061856491,1.4682541732553394,1.489988295207627,1.5606915939661232,1.5815315529966956
2008-03-31,1.7925039295444969,1.7925039295444969,1.4779988697756627,1.502199839609377,1.5640920021834592,1.5891102290012407
2008-04-30,1.8506170567763494,1.8506170567763494,1.488009086397142,1.5112132404562384,1.5853852735908054,1.6139227433479353
2008-05-31,1.8639582256940956,1.8639582256940956,1.4831947056116657,1.5056448927028603,1.5858313671244813,1.614848674805401
2008-06-30,1.809373786468204,1.809373786468204,1.4465546320056184,1.4811982019062495,1.5533182564046562,1.586330588601439
2008-07-31,1.7701865074358965,1.7701865074358965,1.4350725964292548,1.4673767379342129,1.5265187024394336,1.5592954161917134
2008-08-31,1.7599975599667235,1.7599975599667235,1.4424731085277072,1.4714483750080682,1.5244557594804318,1.5552433737470035
2008-09-30,1.675524572060727,1.675524572060727,1.4191785146330325,1.4483933736246553,1.4793355852715249,1.510272103792758
2008-10-31,1.3832215291187062,1.3832215291187062,1.3483221370764593,1.3575778954823607,1.3491170222494915,1.3526773484090628
2008-11-30,1.2631829106866626,1.2631829106866626,1.3670567677468972,1.3642923985235693,1.3499860808754118,1.3282274491054775
2008-12-31,1.3372602136558807,1.3372602136558807,1.477616629911554,1.4627684567829395,1.4417136059598996,1.412239285327833
2009-01-31,1.2313549721801094,1.2313549721801094,1.4481155864596376,1.4291727601364936,1.4028322197183505,1.3636420266916367
2009-02-28,1.1118411353483768,1.1118411353483768,1.3932523370267316,1.3698299666158789,1.342187373446965,1.2946274117035883
2009-03-31,1.156766336275218,1.156766336275218,1.4122314600947665,1.396887556318365,1.3708224895372305,1.3292083102113914
2009-04-30,1.2760533492534727,1.2760533492534727,1.4090870004284684,1.4075651779812826,1.3806569718707267,1.3563735624725577
2009-05-31,1.334534514468185,1.334534514468185,1.399594633957626,1.4067718819829838,1.3986602494302707,1.3793236455368223
2009-06-30,1.305894657595607,1.305894657595607,1.3570827612805612,1.3674503024326599,1.3606209768557047,1.3443665019668274
2009-07-31,1.3808207590609414,1.3808207590609414,1.3865410567805279,1.4024167644617072,1.3967409943530764,1.3865937148523988
2009-08-31,1.4399376353086062,1.4399376353086062,1.38842972458469,1.4083570081161279,1.4014936579919515,1.3983663277631817
2009-09-30,1.489021082943538,1.489021082943538,1.4152341312763697,1.4372630460494216,1.4298056823815433,1.4293680378773659
2009-10-31,1.4781299891738258,1.4781299891738258,1.4237649862152468,1.4432281389846047,1.4392333747157082,1.43509667791466
2009-11-30,1.5399424669218773,1.5399424669218773,1.4366309809971602,1.4619650913074989,1.461747599833852,1.4635562535101974
2009-12-31,1.5769524107801085,1.5769524107801085,1.4258071902667533,1.453797010023589,1.4574321030241213,1.4639354559697966
2010-01-31,1.5094938400934914,1.5094938400934914,1.3998494626670421,1.425765651716444,1.4216451185283558,1.4254838392684068
2010-02-28,1.558617554836895,1.558617554836895,1.4156423924335575,1.4439639950784813,1.4433360395045824,1.450242689346822
2010-03-31,1.6169555903960011,1.6169555903960011,1.4169014843611198,1.4523644198547192,1.4494958803951363,1.4650993876492073
2010-04-30,1.656690085829909,1.656690085829909,1.4131479461441891,1.4504812622766374,1.4506758839724196,1.4702117530950953
2010-05-31,1.5886040490110929,1.5886040490110929,1.4418267214761202,1.4687266361346865,1.4567152148730451,1.4653964050015362
2010-06-30,1.5569898006475165,1.5569898006475165,1.4637645141559346,1.4839328848149318,1.4703638430737955,1.471414499432845
2010-07-31,1.6550752043864119,1.6550752043864119,1.5040125196385772,1.528926646993405,1.5200876514040231,1.5268009104504778
2010-08-31,1.632800296373042,1.632800296373042,1.5327272797558984,1.5506825462405769,1.5360830563424728,1.5358585977841555
2010-09-30,1.7193782454356137,1.7193782454356137,1.5614892903163038,1.587787908818831,1.579849975375332,1.586851497088245
2010-10-31,1.7828672047762897,1.7828672047762897,1.5889859083724904,1.6179656091335357,1.6142071386626204,1.6244674936272319
2010-11-30,1.7644633606668643,1.7644633606668643,1.5654625684757082,1.5957422348713997,1.593551107882654,1.6048973450079775
2010-12-31,1.8421554477205007,1.8421554477205007,1.532071829383443,1.5724922233232121,1.5876133107309596,1.61020572710751
2011-01-31,1.8701017261370627,1.8701017261370627,1.5286218241132896,1.571816638610994,1.5880935391342954,1.6144507496815217
2011-02-28,1.9077020936715483,1.9077020936715483,1.515962976891019,1.5649444974707034,1.5815866267764487,1.6154222992935081
2011-03-31,1.9189257042520331,1.9189257042520331,1.542901807182739,1.5891031022114939,1.6085306240780852,1.6385486585234423
2011-04-30,1.9758893251152392,1.9758893251152392,1.550438231109613,1.5992833369545039,1.622269476637094,1.656958337955972
2011-05-31,1.9655250096549137,1.9655250096549137,1.5719265284280959,1.6213338331675506,1.6344116940081719,1.6681603965105927
2011-06-30,1.9243069527619705,1.9243069527619705,1.5803933470001097,1.6298655714038155,1.6342009780491786,1.6655780845984873
2011-07-31,1.9375953983390222,1.9375953983390222,1.5918127888988471,1.6343672012005293,1.6467731752124235,1.671914314612293
2011-08-31,1.9193388455371962,1.9193388455371962,1.6761167571838915,1.7030984848648958,1.7210962344184804,1.724491518638506
